fin_year,month,state_code,state_name,district_code,district_name,approved_labour_budget,avg_wage_rate_per_day_per_person,avg_days_of_employment_per_household,differently_abled_persons_worked,material_and_skilled_wages,num_completed_works,num_gps_with_nil_exp,num_ongoing_works,persondays_of_central_liability_so_far,sc_persondays,sc_workers_against_active_workers,st_persondays,st_workers_against_active_workers,total_admin_expenditure,total_expenditure,total_households_worked,total_individuals_worked,total_active_job_cards,total_active_workers,total_hhs_completed_100_days,total_job_cards_issued,total_workers,total_works_takenup,wages,women_persondays,percent_category_b_works,percent_expenditure_agri_allied,percent_nrm_expenditure,percent_payments_within_15_days,remarks,payload
2020-2021,Jan,9,Uttar Pradesh,1,Agra,1046000,242.04,44,218,381.82,14424,3,5528,2017473,16792,4848,236,204,381.34,966.91,45828,45098,74909,79325,699,197232,192428,9081,540.1,144305,35.25,36.18,5.8,96.39,NA,{}
2020-2021,Jan,9,Uttar Pradesh,2,Aligarh,983362,207.25,50,4,481.55,4004,311,15487,2483736,12459,379,1823,373,393.86,1141.3,94086,30667,30799,107939,839,49812,68471,13953,1738.28,88899,9.36,42.98,40.08,96.51,NA,{}
2020-2021,Jan,9,Uttar Pradesh,3,Allahabad,1677113,238.35,50,370,1253.19,6386,258,7132,1788300,6529,2089,1250,51,475.68,2435.71,12344,90240,86297,151279,260,62644,109915,10989,879.55,12264,84.53,7.48,73.95,96.78,NA,{}
2020-2021,Jan,9,Uttar Pradesh,4,Ambedkar Nagar,1545377,220.87,43,78,803.44,13220,346,16627,2459458,6055,2820,354,455,424.15,1474.43,34885,1346,146722,152209,888,94913,30067,19066,639.49,180431,17.01,70.16,17.23,91.86,NA,{}
2020-2021,Jan,9,Uttar Pradesh,5,Amethi,924560,203.59,31,164,382.01,4318,300,7364,2011655,44808,4030,35,47,167.94,1118.36,81230,110165,86592,12683,439,196073,96603,6551,1427.19,125921,52.2,49.12,57.68,97.74,NA,{}
2020-2021,Jan,9,Uttar Pradesh,6,Amroha,1649153,211.3,36,447,92.85,13691,425,7917,1935826,14243,2588,592,402,497.97,954.29,58688,90559,28966,168375,424,23124,121065,16872,1220.68,155252,53.34,60.0,36.88,94.19,NA,{}
2020-2021,Jan,9,Uttar Pradesh,7,Auraiya,2049246,212.22,31,57,790.3,14640,259,7009,373572,41082,485,323,476,398.59,1773.03,25768,33532,19065,133009,984,30071,93222,8232,1288.78,99596,2.29,17.61,85.93,94.73,NA,{}
2020-2021,Jan,9,Uttar Pradesh,8,Ayodhya,1554872,248.21,36,190,870.41,14673,315,8774,2434537,9392,507,1218,56,328.17,1443.82,69145,43424,77914,64509,927,77211,134657,18569,1879.54,46208,90.69,28.83,3.55,97.99,NA,{}
2020-2021,Jan,9,Uttar Pradesh,9,Azamgarh,882347,224.38,39,2,1880.55,9729,97,5249,1159449,33299,161,1999,433,273.04,1741.13,14624,140297,65631,52965,841,81552,53250,1336,819.88,60816,91.29,68.72,26.64,95.57,NA,{}
2020-2021,Jan,9,Uttar Pradesh,10,Baghpat,510961,204.67,46,333,426.37,8838,112,16697,1839071,25304,611,384,145,479.52,2790.59,57731,36628,49897,124356,516,48113,195011,9855,727.62,134582,5.87,91.05,7.58,92.85,NA,{}
